epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9135612845420837,0.0010000000474974513,0.18918386101722717,0.9259910583496094,0.16406284272670746
1,0.9260439276695251,0.0010000000474974513,0.16371266543865204,0.9311535954475403,0.15263758599758148
2,0.9286189079284668,0.0010000000474974513,0.15980316698551178,0.9315584897994995,0.15061673521995544
3,0.9309723973274231,0.0010000000474974513,0.1541261523962021,0.9341777563095093,0.1468910127878189
4,0.9317253232002258,0.0010000000474974513,0.15226659178733826,0.9345446825027466,0.14570143818855286
5,0.9321839809417725,0.0010000000474974513,0.15071634948253632,0.9334312081336975,0.14526061713695526
6,0.9325920343399048,0.0010000000474974513,0.14966847002506256,0.9340764880180359,0.1450842320919037
7,0.9331076741218567,0.0010000000474974513,0.14907148480415344,0.9341144561767578,0.1450439691543579
8,0.9332278966903687,0.0010000000474974513,0.14838524162769318,0.9345826506614685,0.14438359439373016
9,0.9339839220046997,0.0010000000474974513,0.14740557968616486,0.9346712231636047,0.14208254218101501
10,0.9341863989830017,0.0010000000474974513,0.1465688943862915,0.9349875450134277,0.14244745671749115
11,0.9349076151847839,0.0010000000474974513,0.14576418697834015,0.9366957545280457,0.14077436923980713
12,0.9349677562713623,0.0010000000474974513,0.1454690396785736,0.9369867444038391,0.14073221385478973
13,0.9354358911514282,0.0010000000474974513,0.14450393617153168,0.9362655282020569,0.14021143317222595
14,0.9353346824645996,0.0010000000474974513,0.14410462975502014,0.9366830587387085,0.13986946642398834
15,0.9353378415107727,0.0010000000474974513,0.14390267431735992,0.9380496144294739,0.13841842114925385
16,0.935989499092102,0.0010000000474974513,0.14329135417938232,0.938011646270752,0.1381804347038269
17,0.9358440041542053,0.0010000000474974513,0.1428227573633194,0.9371512532234192,0.13906694948673248
18,0.936223566532135,0.0010000000474974513,0.14198614656925201,0.9370120763778687,0.13808971643447876
19,0.9364988207817078,0.0010000000474974513,0.14180909097194672,0.938011646270752,0.13887126743793488
20,0.9372896552085876,0.0005000000237487257,0.13980957865715027,0.9406688809394836,0.13422061502933502
21,0.937577486038208,0.0005000000237487257,0.13947933912277222,0.9409092664718628,0.13401328027248383
22,0.9379033446311951,0.0005000000237487257,0.13881894946098328,0.940479040145874,0.13386966288089752
23,0.938216507434845,0.0005000000237487257,0.13846099376678467,0.939960241317749,0.1352643221616745
24,0.9380488395690918,0.0005000000237487257,0.13832858204841614,0.9413647651672363,0.13381388783454895
25,0.9381500482559204,0.0005000000237487257,0.13814297318458557,0.9410864114761353,0.13404391705989838
26,0.9387226104736328,0.0002500000118743628,0.13713932037353516,0.9413774609565735,0.13313373923301697
27,0.9389377236366272,0.0002500000118743628,0.13681098818778992,0.9413394927978516,0.13261745870113373
28,0.9388808012008667,0.0002500000118743628,0.13656823337078094,0.9411876201629639,0.1326252669095993
29,0.9387859106063843,0.0002500000118743628,0.1370597779750824,0.9410484433174133,0.1329812854528427
